"scalematesUrl","brand","brandCatno","name","scale","description","boxartUrl","year"
"https://www.scalemates.com/kits/voyager-model-pea434-modern-us-army-cal-50-m2-ammunition-can-old-model-patten-2-gp--1218050","Voyager Model","PEA434","Modern US ARMY Cal .50 M2 Ammunition Can Old Model Patten 2 (GP)","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218050-13385-46","2019"
"https://www.scalemates.com/kits/voyager-model-pea433-modern-us-army-cal-50-m2-ammunition-can-old-model-patten-1-gp--1218049","Voyager Model","PEA433","Modern US ARMY Cal .50 M2 Ammunition Can Old Model Patten 1 (GP)","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218049-13385-14","2019"
"https://www.scalemates.com/kits/voyager-model-vbs0533-wwii-german-kwk42-l-70-gun-barrel-panther-d--1218048","Voyager Model","VBS0533","WWII German KwK42 L/70 Gun Barrel for Panther DTakom","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218048-13385-82","2019"
"https://www.scalemates.com/kits/model-monkey-350-bb38-barbettes-barbette-1-3-and-4-uss-arizona-bb-39-and-uss-pennsylvania-bb-38--1218047","Model Monkey","350-BB38-barbettes","Barbette 1, 3 and 4 for USS Arizona BB-39 and USS Pennsylvania BB-38complements Model Monkey superstructure parts.","350","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218047-29191-37","2019"
"https://www.scalemates.com/kits/voyager-model-vbs0532-german-kwk42-l-70-gun-barrel-panther-a-g--1218045","Voyager Model","VBS0532","German KwK42 L/70 Gun Barrel for Panther A/GTakom","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218045-13385-16","2019"
"https://www.scalemates.com/kits/voyager-model-fe35053-modern-usm113a1-armored-personnel-carrier-grills-set--1218044","Voyager Model","FE35053","Modern U.S.M113A1 Armored Personnel Carrier Grills SetAFV Club AF35113","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218044-13385-78","2019"
"https://www.scalemates.com/kits/voyager-model-fe35051-modern-us-army-m551-sheridan-grills-set--1218043","Voyager Model","FE35051","Modern US Army M551 Sheridan Grills SetTamiya 35365","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218043-13385-29","2019"
"https://www.scalemates.com/kits/voyager-model-pea432-pzkpfwiv-ausfg-late-production-schurzen--1218041","Voyager Model","PEA432","Pz.Kpfw.IV Ausf.G (Late Production) SchurzenBorder Model 35001","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218041-13385-19","2019"
"https://www.scalemates.com/kits/voyager-model-pe35996-jagdpanther-g2-version-basic-upgrade-set--1218040","Voyager Model","PE35996","Jagdpanther G2 Version Basic Upgrade SetTakom 2118","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218040-13385-56","2019"
"https://www.scalemates.com/kits/voyager-model-pe35994-pzkpfwiv-ausff-h-fenders--1218039","Voyager Model","PE35994","Pz.Kpfw.IV Ausf.F-H FendersBorder Model 35001","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218039-13385-24","2019"
"https://www.scalemates.com/kits/voyager-model-pe35993-pzkpfwiv-ausfg-late-production-basic--1218038","Voyager Model","PE35993","Pz.Kpfw.IV Ausf.G (Late Production) BasicBorder Model 35001","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218038-13385-29","2019"
"https://www.scalemates.com/kits/voyager-model-pe35984-panther-a-tank-early-version-basic--1218036","Voyager Model","PE35984","Panther A Tank Early Version BasicTakom 2097","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218036-13385-79","2019"
"https://www.scalemates.com/kits/voyager-model-pe35980-bergepanther-ausfa-late-type-panther-g-tool-holders-basic--1218035","Voyager Model","PE35980","Bergepanther Ausf.A (Late Type,Panther G Tool Holders) BasicTakom 2101","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218035-13385-72","2019"
"https://www.scalemates.com/kits/microlab-scale-models-zagato43-250tr-58-ferrari-250tr-58-upgrade-kit--1217963","Microlab Scale Models / Zagato43","250TR/58","Ferrari 250TR/58 Upgrade Kit.For MFH 1:12 Kit","12","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217963-11598-67","2019"
"https://www.scalemates.com/kits/rallye-miniature-1865-skoda-fabia-r5-11r-0143-bml--1218110","Rallye-Miniature","1865","Škoda Fabia R5 (11R 0143) 'BML'Lyon-Charbonnières´19 #17 Esparcieux/Duc","43","","https://www.scalemates.com./New releases - Scalemates_files/1218110-20545-91","2019"
"https://www.scalemates.com/kits/trisonic-decals-48-001-hawker-hunter-f56a-in-indian-air-force--1217983","Trisonic Decals","48-001","Hawker Hunter F56A in Indian Air Force","48","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217983-51597-50","2019"
"https://www.scalemates.com/kits/max-factory-mf-30-misa-hayase--1218128","Max Factory","MF-30","Misa Hayase","20","New tool","https://www.scalemates.com./New releases - Scalemates_files/1218128-22112-19","2019"
"https://www.scalemates.com/kits/big-child-creatives-bcljks0007-onitsukaji--1217977","Big Child Creatives","BCLJKS0007","Onitsukajithe Damned One","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217977-50950-49","2018"
"https://www.scalemates.com/kits/balaton-modell-bm3576-izh-jupiter--1217814","Balaton Modell","BM3576","IZH Jupiter","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217814-13385-28","2019"
"https://www.scalemates.com/kits/amusing-hobby-35a031-experimental-gun-tank-type-5-ho-ri-ii--1217813","Amusing Hobby","35A031","Experimental Gun Tank TYPE 5 [ Ho-Ri II ]","35","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217813-13385-84","2019"
"https://www.scalemates.com/kits/hobby-design-hd02-0386-1-24-nissan-skyline-gts-r-r31--1217809","Hobby Design","HD02-0386","1/24 Nissan Skyline GTS-R (R31)","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217809-29637-44","2019"
"https://www.scalemates.com/kits/platz-ne24003-1-24-bmw-m6-gt3-2016-italia-monza--1217808","Platz","NE24003","1/24 BMW M6 GT3 2016 Italia Monza","24","New tool","https://www.scalemates.com./New releases - Scalemates_files/1217808-29637-99","2019"
"https://www.scalemates.com/kits/italeri-6569-top-secret--1217802","Italeri","6569","Top Secret","35","","https://www.scalemates.com./New releases - Scalemates_files/1217802-36583-21","2019"
"https://www.scalemates.com/kits/balaton-modell-bm7270-k700a-pk-4-front-loader--1217784","Balaton Modell","BM7270","K700A-PK-4 front loader","72","Changed parts","https://www.scalemates.com./New releases - Scalemates_files/1217784-11789-12","2019"
"https://www.scalemates.com/kits/bat-project-72010-heinkel-he114c--1217760","Bat project","72010","Heinkel He.114C","72","Changed ???","https://www.scalemates.com./New releases - Scalemates_files/1217760-13833-68","2019"
